heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,20,10,5,0.000392,1071,121,0.80
monotona,20,10,6,0.000671,1981,121,0.80
monotona,20,10,7,0.000385,1106,121,0.80
monotona,20,10,8,0.001020,2826,119,0.80
monotona,20,10,9,0.000998,2686,123,0.80
monotona,20,10,10,0.000468,1317,126,0.80
monotona,20,10,1,0.000326,1423,131,0.90
monotona,20,10,2,0.000542,2266,124,0.90
monotona,20,10,3,0.000305,1252,135,0.90
monotona,20,10,4,0.000227,1083,123,0.90
monotona,20,10,5,0.000635,2581,130,0.90
monotona,20,10,6,0.000538,2366,127,0.90
monotona,20,10,7,0.000363,1468,126,0.90
monotona,20,10,8,0.000328,1483,128,0.90
monotona,20,10,9,0.000544,2474,127,0.90
monotona,20,10,10,0.000238,1107,139,0.90
monotona,30,20,1,0.008555,1223,97,0.10
monotona,30,20,2,0.010832,1512,97,0.10
monotona,30,20,3,0.010035,1505,97,0.10
monotona,30,20,4,0.007165,1081,97,0.10
monotona,30,20,5,0.015816,1507,97,0.10
monotona,30,20,6,0.006903,1033,97,0.10
monotona,30,20,7,0.007372,1086,97,0.10
monotona,30,20,8,0.010638,1575,97,0.10
monotona,30,20,9,0.008616,1226,97,0.10
monotona,30,20,10,0.009622,1377,97,0.10
monotona,30,20,1,0.005236,1152,97,0.20
monotona,30,20,2,0.005532,1075,97,0.20
monotona,30,20,3,0.006225,1227,97,0.20
monotona,30,20,4,0.005158,1090,97,0.20
monotona,30,20,5,0.007571,1407,97,0.20
monotona,30,20,6,0.007950,1645,97,0.20
monotona,30,20,7,0.007021,1304,97,0.20
monotona,30,20,8,0.005368,1135,97,0.20
monotona,30,20,9,0.005901,1107,97,0.20
monotona,30,20,10,0.010611,1439,97,0.20
monotona,30,20,1,0.005037,1353,97,0.30
monotona,30,20,2,0.004145,1043,97,0.30
monotona,30,20,3,0.005531,1410,97,0.30
monotona,30,20,4,0.004195,1080,97,0.30
monotona,30,20,5,0.004889,1277,97,0.30
monotona,30,20,6,0.005079,1390,97,0.30
monotona,30,20,7,0.004870,1306,97,0.30
monotona,30,20,8,0.004739,1277,97,0.30
monotona,30,20,9,0.005487,1432,97,0.30
monotona,30,20,10,0.005052,1150,97,0.30
monotona,30,20,1,0.003999,1414,100,0.40
monotona,30,20,2,0.004385,1523,99,0.40
monotona,30,20,3,0.006978,2378,97,0.40
monotona,30,20,4,0.005850,1873,97,0.40
monotona,30,20,5,0.008064,2053,97,0.40
monotona,30,20,6,0.003839,1313,97,0.40
monotona,30,20,7,0.003961,1344,97,0.40
monotona,30,20,8,0.003404,1215,97,0.40
monotona,30,20,9,0.003132,1043,97,0.40
monotona,30,20,10,0.003755,1356,97,0.40
monotona,30,20,1,0.005688,2617,100,0.50
monotona,30,20,2,0.002900,1292,104,0.50
monotona,30,20,3,0.002407,1158,105,0.50
monotona,30,20,4,0.002512,1112,103,0.50
monotona,30,20,5,0.003835,1852,98,0.50
monotona,30,20,6,0.002740,1346,102,0.50
monotona,30,20,7,0.002579,1209,101,0.50
monotona,30,20,8,0.002992,1362,103,0.50
monotona,30,20,9,0.003959,1928,103,0.50
monotona,30,20,10,0.003112,1383,97,0.50
monotona,30,20,1,0.001609,1100,109,0.60
monotona,30,20,2,0.002041,1448,107,0.60
monotona,30,20,3,0.002549,1478,103,0.60
monotona,30,20,4,0.002732,1937,106,0.60
monotona,30,20,5,0.002073,1364,111,0.60
monotona,30,20,6,0.003374,2152,103,0.60
monotona,30,20,7,0.002177,1436,106,0.60
monotona,30,20,8,0.004425,2524,111,0.60
monotona,30,20,9,0.002258,1585,102,0.60
monotona,30,20,10,0.003063,2058,110,0.60
monotona,30,20,1,0.001875,1870,121,0.70
monotona,30,20,2,0.001541,1411,117,0.70
monotona,30,20,3,0.002457,2111,108,0.70
monotona,30,20,4,0.001074,1017,113,0.70
monotona,30,20,5,0.001085,1144,118,0.70
monotona,30,20,6,0.001532,1524,119,0.70
monotona,30,20,7,0.002260,2180,119,0.70
monotona,30,20,8,0.001995,1770,112,0.70
monotona,30,20,9,0.001485,1338,117,0.70
monotona,30,20,10,0.002901,2831,107,0.70
monotona,30,20,1,0.001849,2766,120,0.80
monotona,30,20,2,0.001040,1431,125,0.80
monotona,30,20,3,0.000879,1397,120,0.80
monotona,30,20,4,0.001472,2296,126,0.80
monotona,30,20,5,0.000907,1363,130,0.80
monotona,30,20,6,0.001396,2074,128,0.80
monotona,30,20,7,0.000715,1066,117,0.80
monotona,30,20,8,0.000783,1201,127,0.80
monotona,30,20,9,0.000819,1130,116,0.80
monotona,30,20,10,0.001072,1411,127,0.80
monotona,30,20,1,0.000561,1341,140,0.90
monotona,30,20,2,0.000802,2026,136,0.90
monotona,30,20,3,0.001515,3845,129,0.90
monotona,30,20,4,0.000612,1586,129,0.90
monotona,30,20,5,0.000463,1085,130,0.90
monotona,30,20,6,0.000807,2057,121,0.90
monotona,30,20,7,0.000690,1856,131,0.90
monotona,30,20,8,0.000453,1144,138,0.90
monotona,30,20,9,0.000909,2221,135,0.90
monotona,30,20,10,0.000443,1216,139,0.90
monotona,40,20,1,0.013528,1231,99,0.10
monotona,40,20,2,0.014911,1386,99,0.10
monotona,40,20,3,0.015121,1353,99,0.10
monotona,40,20,4,0.014852,1340,99,0.10
monotona,40,20,5,0.016425,1424,99,0.10
monotona,40,20,6,0.027401,2169,99,0.10
